Rating,Title,Url
9.2,The Shawshank Redemption,/title/tt0111161/
9.1,The Godfather,/title/tt0068646/
9.0,The Godfather: Part II,/title/tt0071562/
9.0,The Dark Knight,/title/tt0468569/
8.9,12 Angry Men,/title/tt0050083/
8.9,Schindler's List,/title/tt0108052/
8.9,The Lord of the Rings: The Return of the King,/title/tt0167260/
8.9,Pulp Fiction,/title/tt0110912/
8.8,"The Good, the Bad and the Ugly",/title/tt0060196/
8.8,The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/
8.8,Fight Club,/title/tt0137523/
8.8,Forrest Gump,/title/tt0109830/
8.7,Inception,/title/tt1375666/
8.7,Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/
8.7,The Lord of the Rings: The Two Towers,/title/tt0167261/
8.6,The Matrix,/title/tt0133093/
8.6,Goodfellas,/title/tt0099685/
8.6,One Flew Over the Cuckoo's Nest,/title/tt0073486/
8.6,Seven Samurai,/title/tt0047478/
8.6,Se7en,/title/tt0114369/
8.6,Parasite,/title/tt6751668/
8.6,City of God,/title/tt0317248/
8.6,Life Is Beautiful,/title/tt0118799/
8.6,The Silence of the Lambs,/title/tt0102926/
8.6,It's a Wonderful Life,/title/tt0038650/
8.6,Star Wars: Episode IV - A New Hope,/title/tt0076759/
8.5,Saving Private Ryan,/title/tt0120815/
8.5,Spirited Away,/title/tt0245429/
8.5,The Green Mile,/title/tt0120689/
8.5,Interstellar,/title/tt0816692/
8.5,Léon: The Professional,/title/tt0110413/
8.5,The Usual Suspects,/title/tt0114814/
8.5,Harakiri,/title/tt0056058/
8.5,The Lion King,/title/tt0110357/
8.5,American History X,/title/tt0120586/
8.5,Terminator 2: Judgment Day,/title/tt0103064/
8.5,Back to the Future,/title/tt0088763/
8.5,The Pianist,/title/tt0253474/
8.5,Modern Times,/title/tt0027977/
8.5,Psycho,/title/tt0054215/
8.5,Gladiator,/title/tt0172495/
8.5,Joker,/title/tt7286456/
8.5,City Lights,/title/tt0021749/
8.5,The Intouchables,/title/tt1675434/
8.5,The Departed,/title/tt0407887/
8.5,Whiplash,/title/tt2582802/
8.5,The Prestige,/title/tt0482571/
8.5,Once Upon a Time in the West,/title/tt0064116/
8.4,Casablanca,/title/tt0034583/
8.4,Grave of the Fireflies,/title/tt0095327/
8.4,Rear Window,/title/tt0047396/
8.4,Cinema Paradiso,/title/tt0095765/
8.4,Alien,/title/tt0078748/
8.4,Raiders of the Lost Ark,/title/tt0082971/
8.4,Apocalypse Now,/title/tt0078788/
8.4,Memento,/title/tt0209144/
8.4,The Great Dictator,/title/tt0032553/
8.4,1917,/title/tt8579674/
8.4,The Lives of Others,/title/tt0405094/
8.4,Django Unchained,/title/tt1853728/
8.4,Avengers: Infinity War,/title/tt4154756/
8.4,Paths of Glory,/title/tt0050825/
8.4,The Shining,/title/tt0081505/
8.4,WALL·E,/title/tt0910970/
8.4,Avengers: Endgame,/title/tt4154796/
8.4,Spider-Man: Into the Spider-Verse,/title/tt4633694/
8.4,Princess Mononoke,/title/tt0119698/
8.4,Sunset Blvd.,/title/tt0043014/
8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/title/tt0057012/
8.4,Oldboy,/title/tt0364569/
8.4,Witness for the Prosecution,/title/tt0051201/
8.3,The Dark Knight Rises,/title/tt1345836/
8.3,Once Upon a Time in America,/title/tt0087843/
8.3,Aliens,/title/tt0090605/
8.3,Your Name.,/title/tt5311514/
8.3,American Beauty,/title/tt0169547/
8.3,Coco,/title/tt2380307/
8.3,Braveheart,/title/tt0112573/
8.3,Das Boot,/title/tt0082096/
8.3,3 Idiots,/title/tt1187043/
8.3,High and Low,/title/tt0057565/
8.3,Toy Story,/title/tt0114709/
8.3,Star Wars: Episode VI - Return of the Jedi,/title/tt0086190/
8.3,Taare Zameen Par,/title/tt0986264/
8.3,Amadeus,/title/tt0086879/
8.3,Reservoir Dogs,/title/tt0105236/
8.3,Inglourious Basterds,/title/tt0361748/
8.3,Good Will Hunting,/title/tt0119217/
8.3,2001: A Space Odyssey,/title/tt0062622/
8.3,Requiem for a Dream,/title/tt0180093/
8.3,M,/title/tt0022100/
8.3,Vertigo,/title/tt0052357/
8.3,Dangal,/title/tt5074352/
8.3,Eternal Sunshine of the Spotless Mind,/title/tt0338013/
8.3,Citizen Kane,/title/tt0033467/
8.3,The Hunt,/title/tt2106476/
8.3,Full Metal Jacket,/title/tt0093058/
8.3,North by Northwest,/title/tt0053125/
8.3,A Clockwork Orange,/title/tt0066921/
8.2,Snatch,/title/tt0208092/
8.2,The Kid,/title/tt0012349/
8.2,Bicycle Thieves,/title/tt0040522/
8.2,Singin' in the Rain,/title/tt0045152/
8.2,Scarface,/title/tt0086250/
8.2,Taxi Driver,/title/tt0075314/
8.2,Amélie,/title/tt0211915/
8.2,Lawrence of Arabia,/title/tt0056172/
8.2,Toy Story 3,/title/tt0435761/
8.2,The Sting,/title/tt0070735/
8.2,Capharnaüm,/title/tt8267604/
8.2,Metropolis,/title/tt0017136/
8.2,For a Few Dollars More,/title/tt0059578/
8.2,Ikiru,/title/tt0044741/
8.2,A Separation,/title/tt1832382/
8.2,Double Indemnity,/title/tt0036775/
8.2,To Kill a Mockingbird,/title/tt0056592/
8.2,The Apartment,/title/tt0053604/
8.2,Indiana Jones and the Last Crusade,/title/tt0097576/
8.2,Incendies,/title/tt1255953/
8.2,Up,/title/tt1049413/
8.2,L.A. Confidential,/title/tt0119488/
8.2,Monty Python and the Holy Grail,/title/tt0071853/
8.2,Heat,/title/tt0113277/
8.2,Die Hard,/title/tt0095016/
